Simulation_number,lambda0,lambda1,mu0,mu1,rho0,rho1,q01,q10,e0,e1,nloglike,Comments
11,0.111171455,0.017792193,0.153691834,0.010752194,0.033664094,0.012434136,0.014559395,0.007657014,871.1249222,18993.02234,13223.03657,
128,0.149000803,0.00272727,0.27671936,0.00066682,0.044589666,0.005556887,0.047591901,0.027479282,212.4882266,76034.79873,13230.2673,
143,0.115810879,0.007157416,0.076100441,0.027707596,0.032048613,0.013999504,0.016648461,0.007164174,31401592.86,30.21821349,13233.47354,
484,0.006449354,0.013505335,0.159142469,0.007523736,0.038622732,0.00668544,0.026638653,0.012771435,87.8181704,0.436194863,13234.93395,
229,0.198933423,0.003234318,0.389001973,2.42E-07,0.038730133,0.007005553,0.045104896,0.030470277,66875098615,0.000396969,13239.51807,
114,0.083693345,0.021791384,0.093096756,0.016866218,0.036112247,0.014635783,0.005614821,0.009993379,28946.35341,1.983911579,13251.08302,
100,0.048717959,0.000373992,0.236056246,5.59E-05,0.054750139,0.004028729,0.046961808,0.040769547,382.9200315,2992.784188,13260.24144,
285,0.001097605,0.006595223,0.253295058,0.000119127,0.047371765,0.005259931,0.048552256,0.024208961,2897008375,11827.31621,13262.42913,
189,0.065445153,2.48E-06,0.122500483,0.015122409,0.036645977,0.007817504,0.034190676,0.017252716,3887020.808,31.7717876,13263.00176,
133,0.099027695,9.17E-05,0.19755252,0.001493265,0.047270578,0.000901847,0.076905734,0.045910706,188943.8512,0.004328,13270.60277,
437,0.000191224,0.004478358,0.297971755,0.007290261,0.042079914,0.008368261,0.030196992,0.013648424,517691.5328,1.302584419,13272.40877,
39,0.09134314,0.038139739,0.101780261,0.026933754,0.028342952,0.016592412,0.009004201,0.013200955,84.6602436,42.76054758,13278.67491,
104,0.41614185,0.003881563,0.398321689,0.014596367,0.026367088,0.012902254,0.016639923,0.010734479,1661229.384,0.979423703,13280.07724,
314,0.05523911,0.007845107,0.177657384,0.016537028,0.048605279,0.007518798,0.038734655,0.020092206,16.45179455,622.9222269,13289.02403,
397,0.018581451,0.005162545,0.249045947,0.001345984,0.040569859,0.003351113,0.062406535,0.024445083,5.600011598,248.4970467,13291.84659,
26,0.062178747,0.005106818,0.128404275,0.040423688,0.031117426,0.017965155,0.012162162,0.001085497,1005185.749,189.68154,13293.90339,
338,0.002252423,0.016910568,0.134877229,0.028755018,0.035791021,0.012046622,0.013902843,0.007113646,1106019.634,0.001189794,13302.71447,
122,0.265159389,0.000875919,0.347402768,0.006626957,0.036796645,0.008523268,0.044473587,0.02360863,1.817473692,3064.925271,13311.91502,
51,0.126363822,0.018225185,0.097042673,0.020675211,0.024226778,0.01716139,0.012878527,0.008045385,0.493668518,288.5262067,13336.34783,
179,0.050508042,0.018880937,0.049119831,0.042488619,0.038367904,0.015502578,0.004981701,0.008322542,66062712.39,11.47152977,13357.66159,
328,0.239047338,0.032696596,0.251749041,0.000428693,0.027344948,0.013516493,0.012576707,0.007348695,73744.06125,11.23452888,13358.73801,
423,0.187813044,8.32E-09,0.41001385,2.88E-06,0.065476179,0.001336276,0.113388552,0.042238579,3368.161063,0.100009762,13359.96222,
34,0.087586614,0.007958926,0.213514374,0.004791799,0.05393794,0.000290205,0.061516731,0.032659251,27126.82604,0.044165487,13362.05192,
